12,22,27,33,45,4,8
6,10,16,23,24,11,12
10,14,21,33,50,6,9
1,3,4,21,29,2,7
1,15,25,42,50,4,10
5,24,25,29,47,5,9
14,25,39,44,47,6,10
23,25,34,46,47,6,8
8,17,18,29,43,5,9
7,11,25,31,40,9,12
10,11,12,29,31,8,11
4,13,20,28,49,7,12
7,8,34,39,44,2,6
10,11,12,22,50,1,10
2,33,35,42,48,1,3
1,8,19,37,50,6,9
7,33,38,44,50,2,7
1,2,19,30,45,10,12
4,17,20,25,45,8,9
3,13,27,30,46,1,2
4,15,23,30,39,1,12
2,15,32,36,48,3,9
16,23,32,46,49,4,5
7,14,19,34,40,6,8
4,8,16,17,20,1,6
8,22,29,41,42,9,11
7,20,21,27,38,5,12
18,20,21,36,49,3,5
16,25,29,34,37,3,7
20,30,32,41,44,1,10
10,15,17,31,42,4,12
6,29,46,47,48,2,9
12,14,34,41,47,3,4
7,9,11,16,45,2,5
3,24,27,33,42,4,6
1,8,11,42,47,4,11
9,15,24,47,50,8,9
7,10,13,18,26,3,12
15,17,29,45,49,1,10
15,16,39,40,47,1,6
21,23,25,33,44,4,10
1,18,27,41,50,2,12
5,7,12,33,46,3,12
9,25,28,37,38,2,8
4,19,23,35,37,4,8
4,8,10,16,34,4,8
15,22,35,44,48,6,7
2,32,35,36,39,7,8
12,18,24,25,39,8,10
6,15,19,28,39,7,11
11,13,29,31,47,1,11
2,7,34,35,46,6,8
10,16,18,22,35,1,10
14,16,37,45,49,5,7
3,4,7,11,17,3,12
3,11,33,34,36,1,12
2,13,16,24,32,1,7
7,15,34,45,48,7,9
15,16,26,30,37,5,8
6,7,9,14,43,3,4
4,7,16,33,34,7,8
16,18,35,36,41,6,7
9,12,18,22,50,1,3
11,13,14,34,48,7,9
18,31,32,41,46,1,10
2,8,17,28,35,7,9
13,28,29,44,48,4,12
35,36,41,42,45,6,11
6,9,10,30,49,3,4
13,22,24,33,47,1,5
2,20,39,40,47,4,8
6,9,11,32,49,2,10
10,20,40,44,46,1,3
22,29,31,39,46,3,7
2,3,12,16,45,2,11
19,23,26,27,46,2,10
13,18,26,35,37,8,11
1,23,31,36,48,5,8
16,17,35,36,49,1,10
2,13,14,26,29,5,6
8,11,23,32,44,9,10
7,16,18,20,32,1,3
1,4,31,34,40,4,5
13,19,30,38,46,4,12
8,11,12,16,44,4,7
2,15,17,23,36,3,8
4,7,19,20,34,2,4
3,4,9,12,20,5,6
24,27,28,30,49,1,12
23,31,37,42,48,3,7
8,13,14,24,26,1,2
13,17,18,20,46,4,9
23,24,35,37,45,9,12
2,7,21,28,45,5,11
13,20,23,27,42,5,9
5,10,19,27,30,5,6
8,19,32,41,42,9,12
14,23,39,48,50,3,12
27,28,44,48,50,7,12
10,18,21,33,45,8,12
16,17,18,45,49,9,12
2,9,12,39,40,1,3
4,7,18,39,50,3,8
7,15,18,46,49,10,12
11,26,29,34,44,1,10
12,22,32,36,48,3,4
8,26,27,29,44,11,12
17,21,39,43,44,1,11
14,16,40,41,44,2,10
7,25,30,37,41,5,11
2,8,13,29,49,2,11
9,15,25,34,46,8,12
4,13,14,20,41,6,12
5,29,33,39,42,3,9
6,11,17,35,44,3,7
17,19,29,35,48,5,9
2,4,15,21,48,6,12
9,26,27,45,48,8,9
4,22,32,36,47,2,10
11,21,39,40,43,2,8
6,9,25,28,45,1,4
5,14,38,43,45,7,11
7,8,24,35,49,2,12
7,8,25,31,45,7,12
5,24,29,40,42,6,12
13,35,39,44,47,3,5
5,8,14,16,18,3,10
6,7,17,20,21,1,10
24,39,42,43,48,5,8
6,12,18,25,41,2,6
3,8,15,17,48,2,8
4,17,25,28,44,5,11
11,13,24,29,33,2,5
8,10,26,32,42,9,12
1,9,13,35,40,5,6
5,10,23,31,37,3,11
3,13,24,39,40,2,8
27,30,31,41,43,5,8
13,30,31,32,36,1,12
6,9,10,13,37,1,7
2,14,38,42,45,10,11
6,9,12,30,39,4,10
24,31,34,41,43,6,8
13,30,35,36,40,2,6
18,28,42,46,48,3,9
2,12,19,34,44,6,10
1,3,5,42,47,5,10
4,16,25,29,30,2,10
5,6,42,44,46,4,8
6,7,23,32,36,11,12
8,15,26,33,41,9,10
13,19,25,42,45,2,9
24,38,41,45,49,1,6
8,23,24,45,49,2,10
1,8,9,18,50,1,5
19,29,42,45,48,5,7
1,17,28,32,34,7,8
19,27,36,45,49,7,10
7,16,21,23,39,7,11
5,8,24,37,47,3,9
13,22,23,44,49,3,5
2,28,40,43,45,3,7
19,36,39,40,45,5,6
20,21,29,30,35,2,12
12,15,38,47,48,5,7
4,7,14,33,36,1,5
12,30,38,40,41,4,12
10,29,43,46,49,7,12
1,8,13,29,47,5,6
6,9,25,37,46,6,12
9,19,44,47,50,2,9
15,18,25,29,47,5,9
8,23,24,47,48,4,9
3,5,19,21,49,1,10
2,9,24,30,41,1,11
13,22,32,39,41,1,12
7,28,33,37,47,9,12
20,27,35,39,48,3,8
3,31,33,38,44,6,12
14,28,34,46,49,3,8
3,14,15,48,49,1,7
27,39,41,45,50,5,7
9,24,30,46,49,4,12
10,21,30,42,45,1,9
1,3,18,33,36,2,6
9,17,18,21,50,5,12
4,9,35,46,50,8,11
